listing_id,dad__commute_min,dad__transfer_count,dad__station_walk_m,dad__mart_dist_m,dad__hospital_dist_m,mom__commute_min,mom__transfer_count,mom__station_walk_m,mom__mart_dist_m,mom__hospital_dist_m,child__school_walk_m,child__academy_dist_m,child__park_dist_m,child__library_dist_m
H0222,68.0,2.0,722.0,219.0,377.0,71.0,2.0,436.0,,199.0,314.0,14145.0,,156.0
H0223,29.0,0.0,384.0,473.0,1829.0,43.0,2.0,179.0,1075.0,585.0,504.0,12412.0,890.0,2333.0
H0224,45.0,2.0,219.0,469.0,579.0,37.0,0.0,314.0,146.0,448.0,703.0,8297.0,1305.0,1439.0
H0225,29.0,0.0,1642.0,390.0,672.0,46.0,2.0,814.0,792.0,,1261.0,21010.0,332.0,1220.0
H0226,65.0,1.0,223.0,908.0,824.0,42.0,1.0,538.0,1431.0,431.0,500.0,6741.0,1369.0,590.0
H0227,57.0,1.0,389.0,2134.0,2723.0,8.0,0.0,370.0,,2115.0,754.0,2133.0,622.0,901.0
H0228,24.0,1.0,488.0,4500.0,2440.0,51.0,1.0,429.0,4500.0,4100.0,888.0,19593.0,,1680.0
H0229,35.0,0.0,467.0,338.0,1427.0,51.0,1.0,555.0,557.0,280.0,519.0,20255.0,957.0,593.0
H0230,38.0,,363.0,1069.0,1438.0,12.0,0.0,617.0,1310.0,379.0,1017.0,3191.0,571.0,1506.0
H0231,58.0,2.0,364.0,283.0,460.0,37.0,2.0,297.0,751.0,673.0,1044.0,7464.0,400.0,560.0
H0232,37.0,1.0,355.0,1337.0,2537.0,31.0,1.0,938.0,2757.0,2006.0,1142.0,9179.0,1511.0,4500.0
H0233,46.0,2.0,218.0,413.0,772.0,42.0,0.0,832.0,207.0,1052.0,720.0,4440.0,400.0,
H0234,28.0,1.0,1316.0,1531.0,1496.0,56.0,2.0,586.0,627.0,1327.0,1863.0,15846.0,776.0,540.0
H0235,49.0,,357.0,524.0,391.0,34.0,1.0,254.0,701.0,371.0,421.0,4830.0,222.0,258.0
H0236,45.0,1.0,560.0,1404.0,1217.0,57.0,1.0,,1441.0,1277.0,1656.0,20043.0,2741.0,1395.0
H0237,67.0,2.0,336.0,451.0,359.0,74.0,,337.0,505.0,422.0,841.0,19739.0,400.0,255.0
H0238,29.0,1.0,332.0,629.0,1704.0,56.0,2.0,417.0,1442.0,838.0,1119.0,16730.0,1044.0,4500.0
H0239,33.0,0.0,314.0,951.0,1162.0,,0.0,153.0,1492.0,2812.0,488.0,6493.0,,4500.0
H0240,46.0,1.0,172.0,298.0,1671.0,22.0,2.0,530.0,226.0,465.0,873.0,,497.0,787.0
H0241,17.0,0.0,369.0,1069.0,383.0,33.0,,819.0,660.0,593.0,1169.0,,1298.0,1146.0
H0242,46.0,2.0,323.0,2504.0,4500.0,50.0,2.0,554.0,1910.0,4500.0,332.0,26000.0,4202.0,
H0243,27.0,0.0,768.0,657.0,392.0,,1.0,278.0,762.0,2312.0,528.0,19812.0,893.0,801.0
H0244,72.0,2.0,209.0,1457.0,1895.0,55.0,2.0,261.0,1794.0,1526.0,196.0,20050.0,3666.0,1003.0
H0245,22.0,1.0,,717.0,2932.0,56.0,2.0,476.0,977.0,1056.0,524.0,17458.0,1040.0,2204.0
H0246,15.0,1.0,246.0,1909.0,800.0,40.0,1.0,371.0,1405.0,1224.0,381.0,13633.0,4500.0,529.0
H0247,31.0,0.0,892.0,1638.0,1151.0,62.0,2.0,515.0,1007.0,1679.0,513.0,20941.0,4500.0,2211.0
H0248,48.0,1.0,250.0,890.0,1018.0,18.0,0.0,562.0,1168.0,425.0,2470.0,6067.0,364.0,572.0
H0249,33.0,1.0,550.0,2714.0,,33.0,0.0,735.0,1303.0,2166.0,1351.0,10107.0,574.0,2047.0
H0250,39.0,2.0,688.0,2725.0,3193.0,24.0,1.0,216.0,3329.0,1933.0,279.0,8666.0,1802.0,3085.0
H0251,11.0,0.0,372.0,,453.0,47.0,1.0,456.0,596.0,1750.0,756.0,19090.0,841.0,1245.0
H0252,19.0,0.0,189.0,1757.0,2620.0,26.0,0.0,330.0,,638.0,854.0,12687.0,1806.0,1748.0
H0253,69.0,,191.0,1194.0,299.0,71.0,3.0,382.0,788.0,530.0,484.0,25401.0,894.0,952.0
H0254,,1.0,647.0,300.0,212.0,41.0,1.0,649.0,485.0,1156.0,626.0,21526.0,421.0,350.0
H0255,13.0,0.0,202.0,2020.0,793.0,49.0,2.0,,374.0,774.0,657.0,21406.0,577.0,1072.0
H0256,33.0,1.0,501.0,1400.0,1019.0,62.0,3.0,871.0,1554.0,2216.0,292.0,20000.0,2068.0,4500.0
H0257,19.0,0.0,430.0,1600.0,4208.0,38.0,1.0,510.0,3243.0,1277.0,342.0,14812.0,1803.0,2509.0
H0258,44.0,2.0,496.0,84.0,60.0,11.0,0.0,380.0,134.0,72.0,624.0,2595.0,210.0,86.0
H0259,32.0,2.0,523.0,1543.0,305.0,13.0,0.0,351.0,229.0,201.0,602.0,3571.0,420.0,
H0260,27.0,0.0,241.0,1363.0,2120.0,50.0,1.0,,2244.0,1184.0,402.0,23606.0,1486.0,
H0261,56.0,2.0,236.0,,351.0,22.0,1.0,843.0,365.0,,385.0,3742.0,617.0,218.0
H0262,22.0,1.0,598.0,,1119.0,34.0,1.0,338.0,1661.0,3385.0,547.0,13336.0,,1425.0
H0263,30.0,0.0,285.0,576.0,2229.0,59.0,2.0,533.0,371.0,378.0,892.0,16009.0,1100.0,823.0
H0264,59.0,1.0,90.0,319.0,198.0,38.0,1.0,586.0,597.0,273.0,551.0,5042.0,210.0,265.0
H0265,61.0,2.0,576.0,1216.0,1210.0,40.0,1.0,203.0,524.0,998.0,1289.0,8470.0,698.0,495.0
H0266,63.0,2.0,228.0,60.0,148.0,33.0,,243.0,109.0,178.0,404.0,3969.0,199.0,427.0
H0267,29.0,1.0,522.0,1146.0,1554.0,54.0,2.0,945.0,1204.0,713.0,631.0,20124.0,1526.0,497.0
H0268,72.0,2.0,868.0,1735.0,2114.0,,1.0,473.0,3937.0,904.0,480.0,8788.0,1001.0,1595.0
H0269,40.0,1.0,407.0,1434.0,580.0,,1.0,293.0,1311.0,947.0,768.0,4514.0,1942.0,540.0
H0270,59.0,2.0,698.0,1720.0,775.0,18.0,1.0,376.0,611.0,1745.0,387.0,3358.0,2458.0,798.0
H0271,42.0,2.0,439.0,478.0,553.0,13.0,0.0,733.0,1131.0,547.0,1501.0,1435.0,426.0,252.0
H0272,68.0,2.0,966.0,465.0,447.0,36.0,1.0,674.0,158.0,209.0,246.0,8641.0,664.0,498.0
H0273,46.0,2.0,225.0,470.0,410.0,24.0,0.0,180.0,928.0,703.0,1350.0,4606.0,219.0,724.0
H0274,36.0,0.0,402.0,1572.0,3441.0,74.0,2.0,991.0,1363.0,297.0,599.0,16308.0,2162.0,2533.0
H0275,30.0,1.0,584.0,837.0,,39.0,2.0,686.0,754.0,,755.0,15009.0,652.0,684.0
H0276,52.0,2.0,363.0,740.0,1389.0,35.0,0.0,371.0,2005.0,1115.0,1116.0,10435.0,2457.0,4500.0
H0277,22.0,0.0,760.0,555.0,325.0,41.0,1.0,209.0,537.0,371.0,879.0,17199.0,416.0,179.0
H0278,75.0,3.0,318.0,1481.0,350.0,63.0,2.0,720.0,1132.0,490.0,397.0,15715.0,732.0,
H0279,15.0,,1259.0,1643.0,866.0,37.0,2.0,524.0,547.0,1175.0,773.0,16644.0,802.0,4500.0
H0280,34.0,1.0,1296.0,4500.0,1543.0,42.0,1.0,181.0,2935.0,3731.0,1456.0,12300.0,2190.0,
H0281,,2.0,471.0,851.0,1036.0,10.0,0.0,355.0,1040.0,2449.0,367.0,3943.0,3207.0,1624.0
H0282,60.0,,547.0,704.0,248.0,35.0,2.0,2200.0,860.0,236.0,1651.0,7126.0,413.0,545.0
H0283,21.0,0.0,777.0,679.0,1514.0,42.0,2.0,407.0,886.0,682.0,694.0,16693.0,3115.0,1344.0
H0284,10.0,0.0,210.0,509.0,322.0,37.0,1.0,268.0,944.0,342.0,461.0,26000.0,333.0,591.0
H0285,32.0,1.0,196.0,1383.0,678.0,53.0,2.0,232.0,1646.0,1860.0,366.0,15734.0,2948.0,612.0
H0286,36.0,1.0,805.0,3738.0,2274.0,,2.0,1069.0,2285.0,2923.0,512.0,8723.0,1097.0,4500.0
H0287,52.0,1.0,469.0,550.0,804.0,18.0,1.0,643.0,696.0,457.0,215.0,2233.0,414.0,756.0
H0288,29.0,2.0,356.0,1379.0,2161.0,33.0,1.0,875.0,2931.0,,465.0,12422.0,1521.0,4500.0
H0289,71.0,2.0,406.0,1108.0,753.0,67.0,2.0,462.0,911.0,545.0,502.0,26000.0,1970.0,2571.0
H0290,54.0,1.0,109.0,,119.0,21.0,0.0,804.0,85.0,634.0,335.0,,297.0,362.0
H0291,10.0,1.0,363.0,1714.0,1044.0,25.0,1.0,253.0,1453.0,2119.0,832.0,10692.0,711.0,935.0
H0292,70.0,1.0,267.0,288.0,296.0,35.0,1.0,441.0,1338.0,431.0,513.0,3872.0,344.0,2229.0
H0293,50.0,2.0,668.0,567.0,964.0,27.0,2.0,472.0,225.0,404.0,417.0,5142.0,286.0,212.0
H0294,52.0,2.0,697.0,736.0,1212.0,,0.0,863.0,1374.0,1817.0,487.0,1920.0,1579.0,
H0295,21.0,0.0,554.0,,1143.0,45.0,1.0,481.0,2586.0,1308.0,684.0,17089.0,2866.0,1418.0
H0296,20.0,1.0,501.0,1949.0,1384.0,36.0,1.0,286.0,1123.0,2554.0,594.0,13055.0,1387.0,1210.0
H0297,60.0,3.0,177.0,721.0,523.0,31.0,0.0,418.0,330.0,584.0,403.0,7723.0,628.0,1450.0
H0298,44.0,,558.0,1568.0,993.0,54.0,2.0,160.0,,1067.0,610.0,21910.0,2631.0,1862.0
H0299,41.0,0.0,570.0,1670.0,2217.0,57.0,1.0,113.0,4500.0,2934.0,558.0,14157.0,1122.0,2929.0
H0300,33.0,0.0,800.0,813.0,325.0,48.0,1.0,637.0,247.0,223.0,324.0,18719.0,483.0,243.0
H0301,,2.0,1293.0,2348.0,4500.0,59.0,3.0,328.0,1626.0,3695.0,496.0,18401.0,3155.0,2010.0
H0302,67.0,1.0,159.0,131.0,,35.0,1.0,349.0,146.0,281.0,765.0,4730.0,191.0,121.0
H0303,31.0,0.0,326.0,575.0,2391.0,56.0,2.0,637.0,2106.0,600.0,762.0,17784.0,1193.0,935.0
H0304,55.0,3.0,268.0,345.0,462.0,61.0,2.0,870.0,314.0,305.0,510.0,17774.0,333.0,266.0
H0305,31.0,1.0,444.0,812.0,1205.0,28.0,1.0,541.0,1016.0,1054.0,803.0,14876.0,1749.0,4500.0
H0306,65.0,2.0,406.0,68.0,212.0,67.0,3.0,1165.0,,193.0,351.0,21048.0,,126.0
H0307,,1.0,355.0,3060.0,1771.0,34.0,2.0,532.0,2666.0,4500.0,356.0,9862.0,3103.0,548.0
H0308,23.0,0.0,710.0,2047.0,,48.0,1.0,476.0,927.0,1159.0,505.0,18541.0,2348.0,3593.0
H0309,32.0,,220.0,495.0,891.0,53.0,1.0,460.0,334.0,812.0,1210.0,16144.0,863.0,899.0
H0310,62.0,2.0,228.0,1065.0,1145.0,26.0,1.0,199.0,1608.0,941.0,621.0,7518.0,1347.0,892.0
H0311,,3.0,230.0,1929.0,1953.0,58.0,2.0,683.0,2120.0,,499.0,16129.0,1826.0,1270.0
H0312,44.0,1.0,331.0,2122.0,4500.0,34.0,0.0,105.0,732.0,1491.0,1239.0,6509.0,2581.0,817.0
H0313,33.0,,205.0,1131.0,338.0,49.0,2.0,292.0,323.0,518.0,496.0,14118.0,,3466.0
H0314,53.0,2.0,393.0,,4500.0,,1.0,409.0,855.0,1757.0,1750.0,7841.0,809.0,
H0315,58.0,2.0,368.0,2096.0,2060.0,27.0,2.0,261.0,1133.0,1952.0,443.0,14671.0,3293.0,593.0
H0316,11.0,1.0,262.0,490.0,193.0,57.0,2.0,315.0,138.0,233.0,345.0,17158.0,168.0,467.0
H0317,46.0,2.0,652.0,1180.0,843.0,33.0,0.0,1109.0,970.0,2766.0,527.0,5651.0,1712.0,3576.0
H0318,20.0,1.0,390.0,343.0,113.0,39.0,2.0,740.0,218.0,336.0,505.0,20203.0,237.0,369.0
H0319,34.0,1.0,724.0,1422.0,,52.0,,277.0,769.0,851.0,382.0,19267.0,747.0,539.0
H0320,64.0,2.0,362.0,781.0,325.0,34.0,1.0,312.0,1657.0,1590.0,2103.0,5020.0,779.0,358.0
H0321,46.0,1.0,398.0,1724.0,787.0,30.0,0.0,200.0,591.0,253.0,671.0,3258.0,460.0,330.0
H0322,70.0,2.0,,1102.0,1273.0,64.0,3.0,595.0,610.0,1463.0,722.0,26000.0,819.0,1488.0
H0323,33.0,1.0,402.0,825.0,525.0,51.0,1.0,352.0,1074.0,508.0,454.0,14704.0,911.0,919.0
H0324,9.0,1.0,597.0,565.0,527.0,41.0,3.0,137.0,454.0,794.0,429.0,25326.0,429.0,203.0
H0325,27.0,0.0,322.0,,1137.0,23.0,2.0,426.0,3764.0,1690.0,956.0,8867.0,4500.0,3522.0
H0326,20.0,1.0,537.0,395.0,363.0,37.0,,514.0,552.0,248.0,248.0,,505.0,533.0
H0327,29.0,0.0,258.0,660.0,4500.0,50.0,0.0,685.0,1348.0,2673.0,323.0,25833.0,1662.0,823.0
H0328,71.0,2.0,612.0,170.0,226.0,75.0,3.0,387.0,633.0,453.0,506.0,,311.0,69.0
H0329,,1.0,293.0,163.0,120.0,61.0,1.0,329.0,239.0,127.0,1125.0,26000.0,314.0,78.0
H0330,29.0,0.0,644.0,1076.0,525.0,50.0,1.0,1203.0,470.0,843.0,475.0,16643.0,1100.0,1718.0
H0331,33.0,1.0,417.0,3432.0,1674.0,44.0,1.0,405.0,2048.0,1943.0,705.0,17283.0,1511.0,1978.0
H0332,65.0,0.0,931.0,476.0,590.0,32.0,1.0,599.0,302.0,1567.0,580.0,7132.0,,628.0
H0333,24.0,0.0,214.0,1016.0,235.0,50.0,2.0,300.0,395.0,95.0,1095.0,13179.0,377.0,357.0
H0334,19.0,1.0,179.0,2003.0,2377.0,30.0,1.0,590.0,929.0,2269.0,259.0,10999.0,3276.0,2085.0
H0335,,2.0,287.0,138.0,155.0,32.0,2.0,181.0,157.0,,827.0,4863.0,326.0,232.0
H0336,24.0,1.0,188.0,934.0,639.0,66.0,2.0,313.0,1336.0,272.0,518.0,24590.0,191.0,1009.0
H0337,49.0,,189.0,1205.0,1685.0,9.0,0.0,208.0,2690.0,1226.0,909.0,2498.0,2496.0,3163.0
H0338,22.0,0.0,568.0,1326.0,427.0,44.0,1.0,289.0,1195.0,3293.0,380.0,20123.0,1582.0,2568.0
H0339,38.0,1.0,403.0,366.0,850.0,17.0,1.0,803.0,887.0,392.0,580.0,2326.0,515.0,257.0
H0340,44.0,2.0,310.0,890.0,942.0,,2.0,288.0,,1465.0,544.0,11351.0,1614.0,745.0
H0341,74.0,2.0,326.0,995.0,396.0,37.0,2.0,599.0,1203.0,2436.0,347.0,9586.0,1620.0,2045.0
H0342,51.0,1.0,290.0,395.0,463.0,35.0,1.0,929.0,342.0,522.0,302.0,7259.0,339.0,1967.0
H0343,37.0,0.0,1000.0,2086.0,470.0,57.0,2.0,397.0,1940.0,1361.0,428.0,23949.0,2635.0,4500.0
H0344,46.0,2.0,269.0,3528.0,3751.0,77.0,3.0,697.0,4500.0,952.0,611.0,26000.0,1175.0,1474.0
H0345,33.0,1.0,195.0,3905.0,1854.0,59.0,2.0,540.0,2152.0,1379.0,392.0,19688.0,2193.0,4500.0
H0346,39.0,1.0,625.0,1692.0,4500.0,57.0,1.0,430.0,2058.0,3516.0,485.0,16395.0,1819.0,1892.0
H0347,51.0,1.0,358.0,966.0,1011.0,42.0,0.0,610.0,1356.0,608.0,223.0,5613.0,365.0,1127.0
H0348,28.0,0.0,,423.0,454.0,42.0,1.0,1110.0,934.0,1018.0,476.0,16152.0,1049.0,1524.0
H0349,36.0,1.0,302.0,688.0,418.0,48.0,2.0,284.0,1414.0,1491.0,955.0,21957.0,2586.0,501.0
H0350,42.0,0.0,642.0,420.0,525.0,27.0,1.0,238.0,1012.0,3006.0,815.0,1830.0,1697.0,1324.0
H0351,31.0,0.0,732.0,1162.0,510.0,63.0,1.0,230.0,1020.0,990.0,548.0,20214.0,1683.0,2371.0
H0352,68.0,2.0,303.0,951.0,1543.0,37.0,1.0,697.0,339.0,1366.0,,5753.0,203.0,446.0
H0353,29.0,1.0,268.0,1289.0,1800.0,55.0,2.0,751.0,2396.0,2059.0,378.0,23140.0,909.0,1427.0
H0354,,0.0,607.0,1794.0,3961.0,46.0,2.0,300.0,2275.0,4500.0,1290.0,26000.0,2674.0,687.0
H0355,80.0,2.0,553.0,1008.0,1074.0,71.0,2.0,125.0,3224.0,579.0,1610.0,23257.0,1156.0,2192.0
H0356,71.0,2.0,186.0,2237.0,1323.0,78.0,2.0,278.0,2376.0,1597.0,622.0,19662.0,1202.0,1975.0
H0357,40.0,1.0,217.0,1007.0,1310.0,51.0,1.0,545.0,1030.0,,2091.0,15329.0,3469.0,765.0
H0358,,0.0,100.0,654.0,1644.0,50.0,2.0,389.0,,912.0,407.0,20829.0,946.0,679.0
H0359,63.0,3.0,560.0,60.0,79.0,64.0,2.0,445.0,78.0,,306.0,17808.0,82.0,70.0
H0360,31.0,0.0,349.0,560.0,413.0,49.0,1.0,303.0,1420.0,924.0,401.0,23415.0,1235.0,460.0
H0361,66.0,2.0,369.0,2240.0,,,1.0,705.0,855.0,2118.0,513.0,11310.0,1170.0,1202.0
H0362,60.0,2.0,159.0,401.0,332.0,36.0,2.0,487.0,419.0,264.0,1819.0,3673.0,1685.0,117.0
H0363,56.0,3.0,221.0,446.0,542.0,41.0,1.0,557.0,611.0,416.0,497.0,7085.0,368.0,1701.0
H0364,49.0,2.0,310.0,1624.0,147.0,16.0,0.0,440.0,890.0,864.0,372.0,1031.0,522.0,949.0
H0365,20.0,1.0,279.0,88.0,153.0,37.0,2.0,538.0,76.0,108.0,365.0,21268.0,70.0,60.0
H0366,41.0,2.0,430.0,2635.0,1297.0,36.0,1.0,519.0,1862.0,1365.0,1012.0,5534.0,3135.0,298.0
H0367,33.0,1.0,556.0,3599.0,1670.0,49.0,2.0,242.0,1885.0,844.0,943.0,15627.0,2591.0,2918.0
H0368,17.0,0.0,1406.0,1028.0,,66.0,2.0,,1868.0,1987.0,449.0,15817.0,789.0,1675.0
H0369,38.0,0.0,,597.0,877.0,66.0,2.0,623.0,1133.0,975.0,224.0,21039.0,743.0,1367.0
H0370,18.0,0.0,745.0,4500.0,1209.0,50.0,1.0,762.0,1445.0,3831.0,326.0,14460.0,4008.0,3306.0
H0371,25.0,,256.0,1641.0,1942.0,47.0,2.0,507.0,2232.0,1573.0,1354.0,11492.0,1869.0,2959.0
H0372,32.0,1.0,161.0,938.0,1598.0,52.0,2.0,237.0,678.0,1586.0,808.0,16228.0,2532.0,1173.0
H0373,38.0,1.0,332.0,4500.0,2653.0,44.0,2.0,258.0,4500.0,4500.0,592.0,13670.0,3064.0,2873.0
H0374,35.0,2.0,168.0,,1665.0,62.0,1.0,318.0,1618.0,647.0,1457.0,21524.0,1033.0,
H0375,53.0,2.0,407.0,792.0,384.0,29.0,2.0,448.0,739.0,515.0,1524.0,5007.0,489.0,534.0
H0376,54.0,2.0,263.0,335.0,339.0,42.0,1.0,377.0,547.0,1437.0,562.0,4686.0,362.0,1169.0
H0377,49.0,2.0,138.0,550.0,577.0,34.0,1.0,217.0,399.0,559.0,567.0,5525.0,472.0,461.0
H0378,38.0,2.0,1048.0,1725.0,1388.0,38.0,1.0,217.0,2972.0,4500.0,428.0,10944.0,1491.0,4500.0
H0379,43.0,1.0,300.0,3422.0,3070.0,26.0,1.0,127.0,2869.0,4200.0,497.0,10211.0,3557.0,3754.0
H0380,26.0,0.0,164.0,1410.0,469.0,55.0,2.0,90.0,850.0,1433.0,272.0,21349.0,2013.0,1701.0
H0381,16.0,0.0,661.0,715.0,285.0,44.0,1.0,375.0,1031.0,586.0,272.0,19080.0,932.0,2915.0
H0382,60.0,3.0,270.0,863.0,261.0,40.0,2.0,1445.0,1028.0,1127.0,242.0,6730.0,1416.0,2776.0
H0383,32.0,1.0,735.0,1156.0,1020.0,55.0,2.0,1084.0,759.0,1795.0,985.0,22924.0,1092.0,3411.0
H0384,91.0,3.0,270.0,700.0,2823.0,,2.0,236.0,3084.0,429.0,262.0,22054.0,2716.0,597.0
H0385,40.0,3.0,300.0,4500.0,3056.0,42.0,1.0,438.0,3218.0,3784.0,1518.0,9584.0,4500.0,4500.0
H0386,45.0,2.0,488.0,3052.0,2131.0,38.0,1.0,180.0,828.0,1378.0,397.0,8341.0,2989.0,1475.0
H0387,42.0,0.0,559.0,121.0,678.0,48.0,2.0,196.0,133.0,142.0,1365.0,18712.0,382.0,153.0
H0388,55.0,2.0,616.0,1522.0,1183.0,25.0,0.0,209.0,2274.0,2520.0,477.0,8262.0,1047.0,254.0
H0389,52.0,2.0,384.0,70.0,60.0,37.0,1.0,356.0,129.0,60.0,262.0,3855.0,66.0,70.0
H0390,21.0,0.0,540.0,871.0,634.0,38.0,1.0,365.0,1426.0,389.0,1088.0,22002.0,1360.0,395.0
H0391,17.0,0.0,,359.0,741.0,42.0,3.0,464.0,1662.0,1511.0,,21605.0,398.0,1103.0
H0392,67.0,2.0,450.0,134.0,187.0,28.0,0.0,581.0,544.0,113.0,364.0,5218.0,150.0,122.0
H0393,,0.0,373.0,609.0,779.0,56.0,2.0,335.0,1299.0,321.0,485.0,17185.0,507.0,3480.0
H0394,16.0,1.0,182.0,314.0,1618.0,45.0,1.0,412.0,968.0,1488.0,364.0,20626.0,810.0,1394.0
H0395,50.0,1.0,561.0,1480.0,1470.0,8.0,0.0,221.0,974.0,986.0,539.0,3701.0,,3739.0
H0396,75.0,2.0,413.0,648.0,185.0,63.0,2.0,193.0,,703.0,604.0,26000.0,234.0,264.0
H0397,23.0,1.0,321.0,1166.0,770.0,50.0,2.0,177.0,786.0,919.0,480.0,13644.0,1307.0,3874.0
H0398,33.0,1.0,815.0,209.0,528.0,48.0,2.0,577.0,962.0,311.0,231.0,24996.0,642.0,191.0
H0399,66.0,3.0,184.0,60.0,60.0,65.0,2.0,335.0,60.0,60.0,428.0,19998.0,60.0,60.0
H0400,71.0,3.0,996.0,843.0,1693.0,73.0,1.0,144.0,832.0,758.0,814.0,26000.0,2974.0,552.0
