listing_id,dad__work__drive_min,dad__work__transit_min,dad__work__walk_min,dad__gym__drive_min,dad__gym__transit_min,dad__gym__walk_min,mom__work__drive_min,mom__work__transit_min,mom__work__walk_min,mom__mart__drive_min,mom__mart__transit_min,mom__mart__walk_min,child__school__drive_min,child__school__transit_min,child__school__walk_min,child__academy__drive_min,child__academy__transit_min,child__academy__walk_min
H0185,28.0,44.1,128.9,21.4,40.0,95.9,47.9,62.0,237.1,47.4,62.2,208.3,43.4,78.3,247.9,56.9,76.8,256.9
H0186,15.7,27.5,,15.8,28.5,58.0,46.2,61.9,225.8,36.9,61.6,209.1,48.6,75.0,273.4,47.1,74.5,281.1
H0187,41.5,55.9,186.3,41.8,61.8,189.7,29.9,46.1,140.0,25.5,41.7,123.4,27.8,38.2,129.4,30.2,48.1,129.2
H0188,38.7,59.0,219.4,38.2,54.6,201.9,15.8,27.2,48.6,16.2,26.2,67.1,9.5,17.2,19.0,8.6,16.9,17.0
H0189,31.3,53.1,165.6,32.8,49.6,175.5,55.1,79.8,251.6,55.6,68.7,225.5,53.4,75.3,276.0,67.4,83.2,304.5
H0190,19.9,32.5,68.2,16.4,,71.3,48.1,74.4,227.8,41.2,72.5,209.3,52.5,71.3,281.8,53.9,80.0,263.2
H0191,61.5,73.1,305.7,50.3,68.1,289.7,31.8,53.3,151.9,31.6,53.0,167.0,25.7,49.2,145.7,27.3,43.8,123.4
H0192,26.5,42.2,136.0,,38.5,103.5,57.6,81.6,228.2,50.8,71.4,260.6,52.1,,273.9,60.9,93.5,310.5
H0193,,81.2,286.1,46.1,71.7,229.9,22.4,34.4,88.1,22.5,37.9,103.1,15.9,24.3,61.0,11.6,23.5,40.0
H0194,13.4,19.0,40.6,12.6,21.1,37.7,30.4,51.8,125.6,27.4,37.6,116.3,31.4,47.0,172.0,37.5,61.7,
H0195,54.2,77.6,308.4,50.5,73.3,310.5,26.4,43.9,146.0,29.4,54.2,167.0,26.7,41.1,109.8,20.0,31.7,91.6
H0196,46.1,69.9,260.6,54.5,69.2,216.7,19.4,31.2,90.1,22.7,34.1,106.9,17.2,27.9,61.5,10.9,,32.5
H0197,21.9,32.2,93.5,24.2,35.7,100.6,53.2,65.6,237.0,41.1,69.8,233.1,52.1,80.2,323.6,61.8,83.3,301.8
H0198,16.2,29.2,64.4,17.9,29.3,72.5,27.2,48.1,120.3,23.2,34.6,115.5,33.2,51.8,152.9,37.7,53.9,165.7
H0199,56.7,83.8,301.6,57.4,77.2,285.6,26.4,49.1,125.7,33.1,40.8,161.8,25.3,34.4,107.5,20.5,31.9,93.1
H0200,29.0,39.3,145.7,24.0,39.9,115.1,52.6,70.2,244.8,44.5,,257.9,47.6,80.4,271.4,56.2,88.2,302.6
H0201,29.6,46.0,135.1,,,117.1,48.8,80.7,270.9,45.4,64.4,250.8,51.8,75.3,266.6,63.8,89.1,274.0
H0202,55.1,70.5,247.2,47.5,73.5,,27.6,41.0,119.8,23.9,33.8,114.3,19.4,33.6,74.3,16.6,28.3,65.2
H0203,64.1,100.1,329.8,59.6,85.7,322.9,60.3,100.0,306.2,56.1,85.8,298.9,55.1,76.3,321.0,60.5,90.6,301.3
H0204,55.6,74.2,,49.7,73.1,279.5,29.4,39.6,145.9,29.5,,140.4,24.4,37.3,113.3,21.2,34.8,90.7
H0205,37.4,61.7,222.2,41.1,63.8,233.5,16.4,25.1,49.0,18.7,31.6,68.2,10.7,,27.2,6.8,14.8,
H0206,61.3,92.3,334.7,63.0,75.3,312.2,32.2,50.2,153.1,29.2,52.7,178.0,,48.5,134.0,22.2,35.4,118.4
H0207,59.4,96.0,352.2,62.5,91.7,315.7,35.4,49.0,198.4,36.2,57.4,177.3,28.9,44.1,147.4,32.3,44.6,123.0
H0208,11.0,21.9,35.2,15.9,25.6,56.7,35.4,57.9,197.3,34.2,54.2,179.2,41.7,60.4,201.6,43.0,66.7,206.8
H0209,51.9,71.0,,54.3,79.4,297.0,28.2,40.5,126.8,28.9,48.1,125.9,20.9,,92.2,,29.5,64.9
H0210,61.7,94.7,345.7,62.2,92.7,308.4,52.8,88.9,307.0,56.2,77.6,278.0,56.4,83.2,269.4,54.4,78.9,295.9
H0211,11.0,17.5,24.0,12.4,19.2,43.1,34.5,67.8,165.0,37.0,54.6,180.2,45.6,67.4,248.7,46.2,58.5,224.1
H0212,19.3,34.4,99.8,26.2,30.9,105.8,53.1,71.7,223.8,46.4,71.2,278.4,49.5,86.3,294.4,64.5,79.7,301.7
H0213,55.8,72.9,282.5,48.3,80.6,310.4,27.5,42.8,135.8,28.8,47.5,137.3,21.2,35.6,108.3,21.0,31.5,78.9
H0214,25.5,,106.6,25.3,36.6,,41.0,63.0,208.0,37.0,55.8,178.4,48.8,68.7,235.8,49.3,71.5,243.9
H0215,14.4,23.6,48.6,16.9,26.2,52.9,38.0,69.1,205.2,43.9,59.8,196.3,48.7,76.5,258.4,55.6,86.0,278.4
H0216,33.3,43.2,138.1,26.8,42.3,133.1,48.2,71.0,263.9,43.8,74.5,264.2,50.7,67.4,264.4,55.9,86.3,287.1
H0217,55.4,81.8,280.4,59.8,79.1,269.9,28.4,41.8,133.8,28.5,47.6,107.4,21.6,38.0,,20.5,33.1,95.4
H0218,63.5,85.7,301.1,60.9,88.1,298.1,32.0,49.4,151.9,32.4,,142.9,24.3,41.9,111.7,19.6,32.8,89.3
H0219,48.3,68.5,246.5,50.4,71.7,231.8,23.1,39.3,110.4,26.9,,,17.7,30.6,81.3,18.8,31.3,65.8
H0220,40.0,68.6,221.7,39.5,57.6,176.5,34.6,40.5,160.6,26.9,41.2,132.2,30.0,39.8,135.0,29.3,45.0,147.4
H0221,23.4,36.2,108.2,20.9,28.8,90.8,42.9,60.8,230.6,43.6,67.6,189.8,44.7,74.1,237.0,57.8,75.7,275.8
H0222,65.3,92.9,350.7,60.1,93.1,306.7,58.7,98.5,324.9,62.8,87.1,304.3,63.4,78.2,282.4,59.5,81.3,350.3
H0223,13.4,23.3,,16.9,29.7,62.9,42.4,58.8,204.9,36.1,66.8,179.4,41.7,62.7,220.1,47.9,77.2,236.3
H0224,47.2,71.4,,53.9,75.3,240.1,29.5,42.2,127.2,27.7,39.6,138.4,22.3,37.7,105.8,24.3,37.4,106.9
H0225,19.9,32.9,69.7,19.4,29.1,,45.8,69.1,293.6,43.1,62.0,253.5,49.5,78.3,230.2,56.3,77.7,296.8
H0226,56.3,77.6,283.7,50.1,81.8,284.9,31.4,48.3,156.3,30.9,49.2,154.6,21.7,39.3,125.9,23.8,37.8,120.1
H0227,44.8,55.2,160.4,39.6,59.4,187.4,10.0,18.2,20.2,13.2,22.5,37.6,8.6,15.8,17.7,12.4,22.6,42.2
H0228,32.6,48.4,135.3,32.4,51.6,150.6,63.3,75.5,314.3,55.8,90.8,303.9,61.0,89.9,386.7,71.0,,363.2
H0229,17.2,27.6,72.9,21.4,,99.0,43.8,64.4,270.1,44.7,62.0,213.3,53.8,79.6,257.3,53.3,78.2,288.7
H0230,35.0,44.6,188.4,,52.0,175.1,7.3,15.0,9.0,9.6,20.2,24.8,8.8,21.6,24.1,14.5,23.7,53.8
H0231,,89.6,314.8,52.8,82.5,291.4,29.3,44.4,121.5,27.9,49.4,124.0,,33.5,97.7,20.4,33.5,84.7
H0232,37.4,68.6,197.8,34.0,54.8,166.0,27.4,46.8,,,41.7,103.1,28.8,42.9,127.3,32.1,45.0,160.2
H0233,48.4,67.6,235.4,42.9,62.1,213.1,23.3,33.6,100.5,22.6,33.7,94.0,19.9,27.5,74.0,17.1,27.5,67.3
H0234,21.5,27.6,85.1,18.3,34.0,96.7,48.9,73.5,254.8,43.3,74.1,215.5,52.6,82.5,260.2,65.3,76.2,297.5
H0235,47.8,72.1,251.7,49.5,74.2,235.2,28.2,43.7,108.6,28.5,43.7,120.4,22.4,31.2,87.6,19.0,31.2,75.8
H0236,32.4,50.2,164.9,30.8,47.4,136.7,54.1,75.5,268.1,,69.6,212.4,45.7,70.9,228.0,54.7,79.8,267.4
H0237,55.8,93.4,375.7,60.6,91.7,331.8,59.9,89.5,311.0,60.0,84.9,237.5,61.2,81.0,328.0,59.2,84.8,330.0
H0238,,43.8,143.2,,42.5,130.3,46.1,68.3,242.0,41.8,63.5,198.1,45.3,69.9,,47.8,77.9,259.1
H0239,27.9,47.9,150.8,26.2,48.6,125.8,16.2,24.4,55.4,10.6,19.5,28.6,14.6,28.0,62.8,20.1,36.2,
H0240,36.5,58.7,,39.8,51.8,,11.2,20.6,38.7,11.7,21.9,33.6,7.4,16.3,11.6,12.4,23.5,37.7
H0241,12.5,20.6,41.0,,26.2,67.7,41.1,64.0,224.8,33.7,55.9,204.2,44.0,65.0,215.1,52.9,74.6,255.5
H0242,39.4,62.0,212.5,37.7,55.2,171.7,55.1,80.0,292.2,50.5,70.0,253.0,52.9,74.1,289.9,60.6,86.4,348.4
H0243,14.6,31.6,66.9,13.6,27.0,48.9,39.9,59.5,218.4,40.0,54.1,207.8,47.2,71.2,235.9,49.5,71.9,226.5
H0244,53.0,86.6,314.8,61.7,72.9,314.3,47.0,71.1,254.6,53.2,65.6,242.0,41.0,68.7,249.2,52.3,65.5,283.5
H0245,20.6,28.6,67.1,18.2,27.2,76.1,51.5,69.8,259.2,43.9,65.5,221.2,43.1,80.0,289.3,,77.7,284.5
H0246,14.1,25.8,53.6,12.5,18.5,36.3,33.8,50.2,162.5,25.3,46.0,134.7,40.5,52.6,192.1,45.9,62.5,215.4
H0247,22.3,39.4,103.4,30.6,,107.1,58.0,78.5,263.1,49.4,73.9,256.5,60.1,72.9,317.6,57.8,84.0,339.9
H0248,44.1,51.2,202.6,41.1,51.3,174.4,19.7,34.0,91.9,21.1,30.0,66.0,16.0,28.4,74.1,19.4,32.4,87.7
H0249,44.5,56.0,170.7,33.7,50.5,167.5,27.5,44.2,119.2,24.3,34.6,101.8,25.0,42.6,117.2,32.0,40.7,135.0
H0250,35.9,56.7,201.4,35.1,57.5,195.7,31.7,46.2,125.0,22.2,40.8,102.2,,39.1,110.7,28.1,,137.0
H0251,9.2,19.9,19.1,11.0,19.3,29.6,35.6,61.4,170.5,37.0,52.4,163.0,43.8,62.1,230.6,46.8,74.0,254.5
H0252,14.6,24.0,48.7,17.5,28.4,64.8,28.0,45.8,163.0,,45.2,155.4,37.5,52.2,197.3,44.0,60.0,237.7
H0253,76.0,109.0,366.9,64.2,91.3,361.7,68.7,85.2,381.2,53.8,89.0,324.2,64.4,97.3,331.5,65.7,83.5,337.8
H0254,21.2,33.2,116.5,19.6,33.9,70.1,41.8,65.1,237.7,39.2,52.1,195.4,44.3,63.7,215.5,49.7,,307.1
H0255,17.2,29.9,61.7,18.9,29.1,,45.6,65.1,257.8,42.5,59.1,216.0,49.3,68.4,239.6,55.2,,303.2
H0256,39.3,57.0,203.4,33.9,49.0,152.6,48.7,68.4,248.5,40.2,72.7,235.8,51.3,78.1,262.4,59.5,89.1,256.7
H0257,15.7,24.1,55.9,14.3,21.4,39.1,31.7,45.9,151.1,25.1,,118.1,33.4,44.7,174.9,36.1,56.9,232.3
H0258,38.7,59.8,204.6,38.6,61.4,194.3,14.3,24.9,52.1,14.5,26.5,50.9,10.7,21.7,30.5,13.8,23.3,44.8
H0259,35.8,58.8,179.3,39.4,54.1,184.4,11.3,19.5,32.6,9.9,20.7,24.5,9.8,19.0,25.0,13.6,26.9,58.2
H0260,23.0,38.8,119.1,28.2,38.3,132.2,55.4,76.5,296.1,52.7,,249.2,58.3,89.6,335.3,58.8,79.6,337.1
H0261,51.9,67.9,272.7,54.8,78.4,222.6,24.7,44.6,123.0,25.0,43.0,111.9,19.8,35.3,98.8,17.4,33.7,77.7
H0262,18.2,30.1,,19.5,30.4,81.5,26.3,43.3,115.7,28.0,44.5,119.2,34.6,49.0,171.3,38.5,,175.8
H0263,,34.4,99.3,20.5,38.0,94.6,47.9,84.5,230.8,41.5,64.5,240.6,,70.3,251.5,55.9,67.3,314.9
H0264,54.9,81.0,325.3,57.7,87.2,290.2,26.5,45.5,125.0,34.7,50.2,141.3,24.0,37.8,112.9,19.0,31.8,81.2
H0265,47.4,67.1,224.4,46.5,65.6,228.4,29.1,44.8,146.5,24.0,40.1,,25.6,37.8,114.3,27.6,40.3,141.2
H0266,58.2,69.7,283.5,53.2,78.2,292.7,27.1,41.6,141.4,26.2,42.1,140.5,22.3,35.8,,16.2,28.3,71.0
H0267,28.4,38.4,121.0,23.3,39.3,121.4,48.2,73.9,281.4,46.6,63.0,252.8,44.0,79.7,263.4,58.3,79.9,318.0
H0268,67.8,98.5,365.3,58.8,98.2,342.3,,58.2,162.6,44.6,60.9,211.6,35.2,55.3,,30.4,45.8,111.4
H0269,33.4,48.5,177.7,28.6,47.1,132.8,15.2,29.3,60.5,11.5,21.8,36.0,13.9,25.4,53.2,19.3,31.0,79.0
H0270,45.6,55.1,232.4,,66.3,218.1,19.2,30.5,89.7,21.1,32.1,80.2,16.2,,61.1,13.5,22.1,47.8
H0271,38.3,63.3,199.8,39.7,62.3,202.8,13.2,23.3,35.3,,22.0,40.1,7.1,14.5,8.8,10.5,18.5,26.1
H0272,58.2,84.2,276.5,59.9,77.6,269.6,32.8,46.3,138.0,28.9,43.8,143.8,24.6,37.3,,17.7,,92.7
H0273,,56.5,197.3,38.2,54.6,198.7,18.7,27.8,85.2,16.5,29.0,68.9,17.7,27.0,58.1,18.7,27.0,69.6
H0274,23.0,29.3,74.2,18.8,32.4,103.2,49.6,74.2,257.0,41.7,75.9,236.1,51.4,74.5,274.1,69.9,73.8,304.1
H0275,17.9,,56.5,18.8,28.6,78.6,41.5,68.1,194.2,36.6,61.4,205.5,50.9,70.2,219.4,51.3,86.2,
H0276,46.6,68.5,236.0,42.5,55.5,171.4,30.7,43.0,,27.9,40.8,136.6,26.3,37.7,129.1,27.4,40.7,107.8
H0277,17.2,34.5,78.9,,29.3,58.9,49.8,66.1,194.9,38.0,64.4,,49.5,66.2,239.4,,77.0,290.2
H0278,60.6,97.5,420.6,56.2,101.8,377.0,61.4,75.6,309.2,57.1,79.9,310.4,56.3,85.0,281.2,63.9,80.9,295.3
H0279,10.5,18.6,21.9,12.0,23.9,36.9,29.0,45.6,172.6,27.8,45.4,135.9,39.7,59.5,202.3,45.4,65.3,201.4
H0280,17.7,28.2,74.4,22.1,28.2,70.4,31.2,49.6,143.8,29.7,41.6,126.1,33.6,49.4,187.0,33.8,66.7,204.5
H0281,37.1,57.0,179.6,36.5,56.0,188.8,7.5,13.8,6.1,11.1,22.5,36.7,10.3,20.8,32.9,15.5,26.3,58.2
H0282,50.1,86.5,297.7,57.8,88.9,292.6,29.9,,,34.6,39.3,151.6,24.1,37.8,110.9,25.2,30.4,98.0
H0283,19.4,32.3,75.0,15.3,24.8,59.4,41.6,58.9,207.2,35.6,55.3,162.6,41.7,61.5,208.3,48.6,,237.1
H0284,11.9,19.8,33.6,12.5,21.6,38.0,38.4,57.9,,40.5,54.0,176.7,43.6,71.8,224.7,45.4,70.4,271.7
H0285,20.9,34.6,99.3,25.4,32.4,110.5,46.2,72.8,284.9,46.2,69.5,240.8,58.5,85.6,309.0,62.0,86.4,342.6
H0286,34.8,52.2,171.8,31.3,51.1,164.8,29.9,47.6,150.2,25.5,44.2,109.1,30.8,45.8,145.6,29.0,42.5,151.7
H0287,39.3,60.8,173.6,39.9,52.1,195.8,10.1,18.9,35.1,11.6,20.7,35.3,6.6,16.4,7.4,13.0,22.4,34.3
H0288,31.2,52.2,132.1,26.0,44.7,156.0,22.6,34.0,102.8,18.0,28.7,66.8,21.5,34.1,112.7,25.3,38.7,119.5
H0289,63.0,89.9,359.4,,78.7,346.7,68.8,92.1,338.5,58.1,85.0,309.1,54.5,81.6,341.6,63.0,100.1,353.6
H0290,39.9,58.1,198.1,39.3,60.1,172.2,14.1,28.9,60.4,14.5,26.4,53.1,13.6,20.0,35.2,13.4,27.4,49.3
H0291,17.9,30.4,69.9,14.7,27.7,57.9,27.2,49.6,129.2,23.5,38.7,125.9,33.0,48.2,164.7,36.1,55.1,172.4
H0292,52.0,73.8,267.8,49.9,69.1,279.7,23.6,37.7,107.3,23.4,35.9,120.9,20.8,27.0,93.9,19.0,29.2,58.8
H0293,51.7,73.5,254.3,42.9,61.0,248.8,25.7,42.7,115.0,20.3,35.7,110.5,19.2,33.2,102.5,,30.9,95.8
H0294,37.3,,236.0,40.9,55.5,218.9,18.4,29.0,78.2,18.2,34.6,77.2,13.6,22.6,49.7,11.2,21.6,32.8
H0295,10.9,18.9,29.7,10.0,18.5,28.3,33.3,52.3,158.7,28.4,42.3,,35.4,54.4,166.9,36.2,56.6,201.5
H0296,9.5,16.7,22.9,9.0,17.4,24.4,33.8,44.4,,25.5,45.5,138.0,35.1,55.0,172.8,35.5,56.1,223.5
H0297,53.1,63.6,301.0,51.0,65.1,305.1,32.7,52.4,161.7,27.3,45.2,149.9,28.8,39.7,127.8,23.8,39.7,108.3
H0298,30.6,44.5,155.2,26.2,45.1,126.0,49.0,67.9,269.8,49.6,62.1,223.0,57.9,76.0,288.9,55.1,77.0,286.0
H0299,27.9,45.2,,30.3,42.9,130.4,50.1,81.5,247.8,42.2,73.0,242.4,46.7,76.9,267.2,58.5,,284.1
H0300,15.7,25.4,60.8,15.9,26.4,66.4,41.4,67.7,233.7,42.3,60.6,208.9,44.8,67.0,257.2,51.3,83.0,286.6
H0301,,60.5,200.7,33.6,50.6,165.3,60.5,76.9,295.6,54.9,74.3,289.7,54.9,81.8,310.1,70.2,86.3,366.5
H0302,43.4,70.1,262.1,44.8,74.1,226.1,23.1,37.6,123.0,25.6,41.2,105.6,22.1,27.0,80.8,17.8,,68.8
H0303,20.5,29.0,82.6,23.8,36.0,75.4,49.8,72.9,252.6,39.9,62.6,199.3,55.3,69.5,,55.5,74.5,309.3
H0304,60.0,88.5,338.4,,83.7,298.4,62.6,90.1,279.9,53.2,75.5,288.6,54.5,75.9,291.5,52.6,92.0,321.7
H0305,8.2,17.3,13.3,10.5,20.1,28.8,33.7,50.0,162.5,27.0,46.6,152.2,37.5,56.3,207.7,45.4,58.4,212.5
H0306,58.2,84.5,351.1,61.7,79.4,305.0,58.1,85.5,346.8,64.5,80.2,300.9,52.7,75.9,288.9,66.1,83.7,301.5
H0307,43.6,61.6,206.1,35.7,62.3,240.7,34.1,52.9,158.6,26.5,46.4,144.9,32.0,44.4,143.2,28.2,47.2,159.4
H0308,18.3,28.8,60.6,19.9,32.4,83.1,32.6,61.1,211.3,36.1,66.6,189.8,44.3,61.3,219.0,49.1,71.8,267.5
H0309,19.6,30.1,,20.2,28.1,76.0,46.8,61.3,243.6,39.1,63.9,201.1,48.1,72.7,266.2,59.0,83.4,295.7
H0310,68.1,91.9,,60.1,88.9,321.4,32.3,46.5,145.6,31.0,,175.4,29.0,44.1,141.2,20.7,40.0,104.7
H0311,66.1,88.3,358.3,58.4,79.7,324.7,51.3,76.4,277.4,52.9,72.5,257.0,47.2,72.2,274.4,50.7,77.5,234.8
H0312,41.3,62.6,197.5,39.3,58.6,191.9,25.8,41.8,99.6,25.1,34.2,88.2,21.2,34.4,93.9,26.2,36.7,115.0
H0313,18.3,25.2,56.7,14.5,24.4,50.3,39.3,65.5,189.2,34.4,53.7,188.5,42.4,56.0,223.4,47.9,,265.4
H0314,45.6,65.3,221.8,36.0,49.4,212.5,26.5,46.6,145.2,23.6,,110.9,26.7,37.6,112.8,28.0,39.3,125.5
H0315,48.9,67.0,,38.4,69.7,229.1,33.9,52.7,170.9,,47.1,141.6,34.5,45.8,153.0,36.8,46.2,141.6
H0316,19.0,28.7,80.1,17.2,22.0,66.7,42.7,66.2,210.6,37.8,57.2,213.6,47.0,64.7,236.0,57.2,67.7,259.2
H0317,40.6,53.6,219.5,36.3,54.7,186.6,24.7,36.5,112.8,20.9,35.5,96.9,22.5,34.1,91.3,23.6,36.1,106.6
H0318,10.9,21.5,32.4,14.2,24.2,43.4,41.0,59.7,203.2,35.9,54.2,182.2,44.0,72.4,229.9,47.9,74.1,237.2
H0319,28.9,40.8,127.8,24.8,38.6,132.4,55.6,71.3,270.4,48.5,65.5,251.4,51.7,83.8,294.4,55.7,74.8,307.7
H0320,47.5,70.2,251.1,43.4,66.0,255.7,24.2,37.1,125.1,27.3,49.9,123.2,21.9,31.1,86.7,19.4,29.6,65.4
H0321,45.2,63.0,224.5,,56.6,214.5,19.5,31.9,74.8,18.8,28.4,59.4,14.7,25.8,50.1,13.8,28.4,57.9
H0322,62.8,99.1,339.4,48.8,93.7,348.5,67.5,90.7,330.3,56.7,84.8,287.1,53.4,89.8,351.7,60.4,95.8,330.3
H0323,21.1,26.4,75.9,16.3,23.7,67.9,35.3,62.6,197.3,33.3,48.4,176.8,41.7,59.6,257.1,48.1,67.3,217.9
H0324,19.0,26.4,70.8,19.4,34.2,81.2,47.6,71.8,215.1,46.3,65.9,220.0,50.9,79.3,243.9,,73.8,303.7
H0325,19.1,26.2,64.5,16.3,,53.7,23.1,38.4,100.4,21.4,31.8,93.0,27.3,43.0,120.2,34.0,52.1,161.0
H0326,16.8,29.3,58.3,17.7,25.0,64.6,43.7,68.7,254.3,44.3,59.9,227.2,53.7,64.3,,63.5,65.7,292.1
H0327,26.1,45.8,155.2,29.1,39.8,104.3,47.2,73.5,268.5,48.6,72.7,230.8,54.0,78.8,270.8,,89.6,293.9
H0328,62.7,95.8,333.2,59.0,80.4,349.3,59.0,88.9,286.8,50.3,84.0,272.2,62.3,83.8,318.4,57.0,83.9,
H0329,12.1,21.0,42.3,12.7,26.8,54.1,47.6,59.3,190.2,35.4,60.9,201.2,47.1,67.0,247.3,55.0,84.7,253.1
H0330,15.3,24.4,50.1,14.9,25.5,52.8,38.4,64.1,211.7,36.5,50.4,187.5,45.7,,235.2,51.5,65.1,253.1
H0331,30.5,43.9,120.0,25.4,33.6,102.4,38.6,65.3,236.0,,63.4,184.2,40.5,60.9,228.4,53.0,75.2,248.8
H0332,55.9,78.4,275.0,53.2,73.8,241.9,24.9,40.4,,29.6,39.7,128.3,22.2,,91.3,19.1,30.5,77.7
H0333,11.5,22.1,34.8,15.0,22.6,49.3,,61.0,225.1,39.1,63.1,219.7,45.1,66.3,226.7,49.3,71.8,257.1
H0334,12.7,23.2,50.5,15.3,30.1,63.5,33.1,49.3,170.4,34.9,52.6,131.4,35.2,58.7,194.0,38.3,58.4,216.0
H0335,57.3,84.6,297.7,63.7,73.5,283.5,29.7,43.8,144.8,32.1,49.4,144.9,23.7,39.4,98.1,18.0,34.0,83.1
H0336,20.1,35.3,103.6,21.6,40.6,102.5,49.6,68.8,240.8,48.9,66.5,248.5,53.9,73.7,265.9,52.5,,375.7
H0337,36.4,60.1,190.8,39.9,56.6,225.1,9.4,20.3,26.7,15.9,25.2,49.2,12.9,20.5,36.1,14.9,27.7,48.3
H0338,16.3,28.1,59.5,16.6,28.1,80.7,42.0,67.9,211.2,41.8,58.2,216.3,48.8,58.7,256.1,47.2,81.5,261.5
H0339,42.1,51.5,193.2,35.6,54.2,203.1,13.1,20.8,33.2,12.8,22.3,43.2,5.9,13.8,,12.4,19.5,40.3
H0340,51.4,,255.3,52.1,65.3,256.5,33.4,52.9,136.4,31.5,,132.9,26.8,36.9,123.4,26.2,37.8,123.0
H0341,52.7,97.0,374.6,60.2,80.8,359.8,33.5,52.9,177.3,37.3,47.5,,30.2,47.0,126.4,25.8,,108.5
H0342,50.3,78.2,213.6,50.0,69.9,239.8,29.7,53.0,136.0,26.4,45.0,123.4,18.9,38.2,94.0,22.0,40.6,109.1
H0343,28.7,40.8,114.9,26.2,36.6,100.3,44.6,68.4,240.9,40.4,63.1,216.0,47.3,74.8,265.1,56.2,74.3,264.3
H0344,32.5,,145.4,33.6,43.4,162.6,51.4,86.6,319.2,59.5,79.5,296.9,68.2,83.8,272.2,64.4,108.3,389.8
H0345,39.8,54.1,175.8,36.2,48.7,169.1,58.4,77.1,280.4,54.3,70.3,255.9,,80.8,318.8,56.5,91.0,317.1
H0346,29.0,54.5,172.8,30.6,41.3,138.2,55.6,77.1,255.7,46.8,70.7,245.6,53.1,85.9,240.0,62.2,85.3,
H0347,44.6,77.1,247.2,39.0,62.3,224.7,28.0,42.9,132.5,26.7,35.8,115.0,24.0,38.4,97.9,22.4,34.0,104.9
H0348,20.5,32.8,79.0,15.8,25.9,60.7,38.7,59.1,215.4,30.9,45.4,161.1,40.2,67.2,201.5,46.8,73.1,254.8
H0349,19.9,34.5,104.1,25.1,35.6,119.1,50.4,83.8,,48.2,73.0,,55.3,82.3,311.8,63.1,87.3,341.9
H0350,49.5,62.0,245.5,44.7,73.3,232.6,20.1,31.5,81.1,19.3,32.4,69.6,12.6,22.1,57.8,12.9,21.8,42.6
H0351,22.1,34.2,93.2,20.4,36.3,105.1,51.8,75.2,248.4,45.2,69.0,260.6,60.8,83.5,240.8,61.3,90.7,306.6
H0352,58.5,78.7,309.9,51.0,79.7,293.6,28.4,42.0,126.1,34.9,42.1,144.0,23.8,37.2,111.7,19.4,32.7,
H0353,23.3,35.3,110.3,26.0,36.6,124.4,44.3,75.3,278.0,48.0,,257.5,,82.9,251.0,68.2,81.5,342.2
H0354,26.9,45.3,110.6,27.7,41.7,134.4,50.1,72.1,227.0,46.8,63.5,223.9,59.8,76.0,295.2,56.9,89.5,317.0
H0355,77.2,115.9,,62.0,100.2,338.2,70.7,90.7,374.4,62.4,83.6,373.3,65.2,88.9,326.8,70.4,91.2,381.1
H0356,63.7,97.7,336.3,56.8,79.9,266.4,59.2,88.1,338.9,51.9,82.9,306.9,58.7,91.4,336.0,64.3,,369.1
H0357,30.8,43.2,143.5,26.7,,132.3,55.5,91.9,273.4,46.3,75.9,255.6,52.8,81.8,271.7,63.7,84.5,324.7
H0358,25.9,42.0,127.0,24.0,32.9,101.6,47.0,66.4,242.2,44.5,60.2,222.8,49.6,72.9,261.0,55.7,70.8,282.0
H0359,60.2,96.5,283.1,64.3,86.3,350.3,63.5,78.4,332.9,54.1,79.6,277.5,54.9,79.9,272.1,63.9,96.2,316.4
H0360,18.7,31.6,69.3,20.0,31.1,93.7,50.9,67.0,233.1,42.5,75.6,221.7,44.3,68.8,294.9,53.8,92.0,275.1
H0361,52.2,83.8,252.9,49.2,74.8,291.5,31.9,50.5,170.9,34.8,49.6,154.8,28.8,49.3,131.4,30.6,46.4,132.1
H0362,54.9,81.4,272.4,52.5,72.5,252.1,24.0,43.4,125.7,30.5,44.0,155.5,19.5,40.7,84.6,20.8,29.1,74.9
H0363,,90.9,310.5,55.1,83.1,301.2,30.7,50.3,139.6,34.9,49.5,166.7,30.0,42.9,137.8,22.0,34.7,94.4
H0364,40.8,68.0,201.0,39.7,62.7,226.3,17.1,28.1,59.8,17.4,28.1,79.1,11.2,18.1,30.7,8.1,17.4,13.6
H0365,12.9,23.1,39.1,13.4,23.2,59.2,40.5,59.5,233.3,38.5,49.4,212.0,43.2,64.2,267.9,49.3,73.0,267.0
H0366,47.4,55.6,204.9,38.8,,225.3,26.7,44.2,145.6,23.6,41.6,115.4,23.5,39.9,120.0,26.0,39.4,128.7
H0367,27.8,45.1,161.4,,41.5,,40.4,63.9,249.4,38.9,63.9,196.6,41.4,76.6,232.1,58.8,86.7,287.1
H0368,19.5,31.8,98.0,20.2,31.9,80.7,54.3,,228.7,,65.2,245.5,47.7,69.1,267.5,52.9,,303.3
H0369,28.7,39.7,128.3,26.9,38.7,109.1,50.9,66.1,,41.9,64.0,199.4,53.5,72.5,261.2,51.3,89.8,260.6
H0370,11.6,22.0,29.1,8.1,18.3,20.5,33.1,43.8,159.3,26.1,45.5,145.6,40.6,53.5,190.2,44.8,54.0,227.7
